Age,Gender,Education Level,Job Title,Years of Experience,Salary,City,Seniority Level,Industry,Remote Status
43.0,Female,PhD,Senior Consultant,15.0,140000.0,Mumbai,Senior,General,Remote
33.0,Male,Master's,Product Designer,6.0,90000.0,Hyderabad,Junior,General,Hybrid
50.0,Male,Bachelor's,CEO,25.0,250000.0,Delhi,Junior,General,Remote
31.0,Female,Bachelor's,Accountant,4.0,55000.0,Hyderabad,Junior,General,Onsite
29.0,Male,Master's,Data Scientist,3.0,75000.0,Delhi,Junior,Analytics,Hybrid
39.0,Female,Bachelor's,Marketing Specialist,10.0,65000.0,Mumbai,Junior,General,Onsite
46.0,Male,PhD,Senior Manager,20.0,170000.0,Bangalore,Senior,Management,Remote
27.0,Male,Bachelor's,Technical Writer,2.0,45000.0,Delhi,Junior,General,Hybrid
35.0,Female,Bachelor's,HR Generalist,7.0,60000.0,Bangalore,Junior,HR,Onsite
42.0,Male,Master's,Project Engineer,14.0,115000.0,Bangalore,Junior,IT,Hybrid
26.0,Female,Bachelor's,Customer Success Rep,1.0,40000.0,Mumbai,Junior,General,Onsite
49.0,Male,Bachelor's,Sales Executive,21.0,160000.0,Pune,Junior,Sales,Remote
34.0,Female,Master's,UX Designer,5.0,80000.0,Hyderabad,Junior,General,Remote
48.0,Male,Master's,Operations Director,18.0,190000.0,Delhi,Senior,Management,Onsite
30.0,Male,Bachelor's,Network Engineer,3.0,60000.0,Hyderabad,Junior,IT,Onsite
36.0,Female,Bachelor's,Administrative Assistant,8.0,45000.0,Delhi,Junior,General,Remote
41.0,Male,Master's,Strategy Consultant,13.0,130000.0,Pune,Junior,General,Onsite
28.0,Female,Bachelor's,Copywriter,2.0,40000.0,Mumbai,Junior,General,Remote
32.0,Male,Bachelor's,Account Manager,5.0,75000.0,Hyderabad,Mid,Management,Onsite
45.0,Female,Master's,Director of Marketing,16.0,180000.0,Bangalore,Senior,Management,Remote
38.0,Male,PhD,Senior Scientist,11.0,120000.0,Mumbai,Senior,Analytics,Onsite
25.0,Male,Bachelor's,Help Desk Analyst,0.0,35000.0,Mumbai,Junior,Analytics,Onsite
51.0,Female,Bachelor's,Customer Service Manager,22.0,130000.0,Mumbai,Mid,Management,Remote
33.0,Male,Master's,Business Intelligence Analyst,7.0,85000.0,Hyderabad,Junior,Analytics,Remote
40.0,Female,Bachelor's,Event Coordinator,12.0,60000.0,Bangalore,Junior,General,Remote
47.0,Male,Master's,VP of Finance,19.0,200000.0,Mumbai,Junior,General,Onsite
29.0,Female,Bachelor's,Graphic Designer,3.0,50000.0,Mumbai,Junior,General,Remote
36.0,Male,Bachelor's,Sales Manager,9.0,95000.0,Bangalore,Mid,Management,Hybrid
27.0,Female,Master's,UX Researcher,2.0,65000.0,Hyderabad,Junior,General,Remote
43.0,Male,PhD,Senior Engineer,17.0,140000.0,Bangalore,Senior,IT,Hybrid
30.0,Female,Bachelor's,Social Media Manager,4.0,55000.0,Pune,Mid,Management,Remote
35.0,Male,Master's,Product Manager,7.0,105000.0,Hyderabad,Mid,Management,Onsite
51.0,Female,Master's,Director of Operations,23.0,170000.0,Pune,Senior,Management,Onsite
29.0,Male,Bachelor's,Marketing Analyst,3.0,50000.0,Bangalore,Junior,Analytics,Onsite
40.0,Female,Bachelor's,HR Manager,12.0,80000.0,Pune,Mid,Management,Remote
47.0,Male,PhD,Senior Data Scientist,21.0,180000.0,Mumbai,Senior,Analytics,Onsite
26.0,Male,Bachelor's,Junior Accountant,1.0,35000.0,Pune,Junior,General,Hybrid
38.0,Female,Master's,Digital Marketing Manager,10.0,90000.0,Delhi,Mid,Management,Hybrid
46.0,Male,Bachelor's,IT Manager,19.0,120000.0,Pune,Mid,Management,Hybrid
31.0,Female,Bachelor's,Customer Service Representative,5.0,45000.0,Mumbai,Junior,General,Hybrid
34.0,Male,Master's,Business Development Manager,8.0,90000.0,Delhi,Mid,Management,Hybrid
49.0,Female,Master's,Senior Financial Analyst,18.0,150000.0,Bangalore,Senior,Analytics,Remote
33.0,Male,Bachelor's,Web Developer,6.0,65000.0,Pune,Junior,IT,Onsite
39.0,Female,Bachelor's,Recruiter,11.0,70000.0,Delhi,Junior,General,Remote
45.0,Male,PhD,Research Director,16.0,190000.0,Mumbai,Senior,Management,Hybrid
28.0,Male,Bachelor's,Technical Support Specialist,2.0,40000.0,Hyderabad,Junior,General,Onsite
42.0,Female,Master's,Creative Director,14.0,120000.0,Bangalore,Senior,Management,Hybrid
37.0,Male,Bachelor's,Project Manager,10.0,95000.0,Delhi,Mid,Management,Remote
50.0,Female,Bachelor's,Operations Manager,22.0,160000.0,Bangalore,Mid,Management,Hybrid
32.0,Male,Master's,Senior Software Engineer,6.0,100000.0,Delhi,Senior,IT,Remote
48.0,Female,Master's,Human Resources Director,20.0,180000.0,Bangalore,Senior,Management,Remote
30.0,Female,Bachelor's,Content Marketing Manager,3.0,55000.0,Mumbai,Mid,Management,Remote
36.0,Male,Bachelor's,Technical Recruiter,8.0,70000.0,Mumbai,Junior,General,Remote
41.0,Female,Master's,Data Analyst,13.0,80000.0,Mumbai,Junior,Analytics,Remote
25.0,Male,Bachelor's,Sales Representative,0.0,30000.0,Hyderabad,Junior,Sales,Remote
52.0,Male,PhD,Chief Technology Officer,24.0,250000.0,Pune,Junior,General,Onsite
29.0,Female,Bachelor's,Junior Designer,2.0,40000.0,Pune,Junior,General,Remote
34.0,Female,Master's,Financial Advisor,10.0,95000.0,Bangalore,Junior,General,Remote
27.0,Male,Bachelor's,Junior Account Manager,2.0,45000.0,Bangalore,Mid,Management,Hybrid
40.0,Female,Bachelor's,HR Generalist,15.0,80000.0,Hyderabad,Junior,HR,Remote
46.0,Male,Master's,Senior Project Manager,21.0,135000.0,Delhi,Senior,Management,Hybrid
31.0,Female,Bachelor's,Marketing Coordinator,6.0,55000.0,Mumbai,Junior,General,Onsite
36.0,Male,PhD,Principal Scientist,11.0,120000.0,Delhi,Junior,Analytics,Remote
29.0,Female,Bachelor's,Sales Associate,3.0,40000.0,Hyderabad,Junior,Sales,Remote
43.0,Male,Bachelor's,Supply Chain Manager,18.0,105000.0,Delhi,Mid,Management,Hybrid
52.0,Female,Master's,Senior Marketing Manager,25.0,170000.0,Pune,Senior,Management,Remote
33.0,Male,Bachelor's,Business Analyst,7.0,75000.0,Mumbai,Junior,Analytics,Remote
39.0,Female,Bachelor's,Training Specialist,12.0,65000.0,Hyderabad,Junior,General,Onsite
47.0,Male,PhD,Research Scientist,22.0,160000.0,Hyderabad,Junior,Analytics,Hybrid
26.0,Male,Bachelor's,Junior Software Developer,1.0,35000.0,Hyderabad,Junior,IT,Remote
38.0,Female,Master's,Public Relations Manager,10.0,90000.0,Mumbai,Mid,Management,Hybrid
45.0,Male,Bachelor's,Operations Analyst,20.0,110000.0,Delhi,Junior,Analytics,Hybrid
31.0,Female,Bachelor's,Event Coordinator,5.0,45000.0,Bangalore,Junior,General,Hybrid
35.0,Male,Master's,Product Marketing Manager,8.0,95000.0,Bangalore,Mid,Management,Onsite
49.0,Female,Master's,Senior HR Manager,19.0,150000.0,Pune,Senior,Management,Hybrid
33.0,Male,Bachelor's,Junior Web Developer,5.0,50000.0,Hyderabad,Junior,IT,Onsite
39.0,Female,Master's,Senior Project Coordinator,13.0,80000.0,Bangalore,Senior,General,Hybrid
44.0,Male,PhD,Chief Data Officer,16.0,220000.0,Bangalore,Junior,General,Hybrid
30.0,Female,Bachelor's,Digital Content Producer,3.0,50000.0,Bangalore,Junior,General,Remote
36.0,Male,Bachelor's,IT Support Specialist,7.0,60000.0,Delhi,Junior,General,Onsite
41.0,Female,Master's,Senior Marketing Analyst,14.0,100000.0,Delhi,Senior,Analytics,Hybrid
28.0,Male,Bachelor's,Customer Success Manager,2.0,40000.0,Delhi,Mid,Management,Onsite
42.0,Female,Master's,Senior Graphic Designer,15.0,110000.0,Bangalore,Senior,General,Remote
37.0,Male,Bachelor's,Software Project Manager,9.0,95000.0,Pune,Mid,Management,Remote
50.0,Female,Bachelor's,Supply Chain Analyst,22.0,130000.0,Bangalore,Junior,Analytics,Remote
32.0,Male,Master's,Senior Business Analyst,6.0,90000.0,Bangalore,Senior,Analytics,Onsite
23.0,Female,Bachelor's,Junior Marketing Analyst,0.5,35000.0,Pune,Junior,Analytics,Hybrid
31.0,Male,Master's,Senior Financial Analyst,6.0,95000.0,Mumbai,Senior,Analytics,Remote
40.0,Female,Bachelor's,Office Manager,15.0,65000.0,Delhi,Mid,Management,Onsite
48.0,Male,PhD,Principal Engineer,20.0,170000.0,Hyderabad,Junior,IT,Onsite
29.0,Female,Bachelor's,Junior HR Generalist,3.0,45000.0,Pune,Junior,HR,Remote
35.0,Male,Master's,Senior Product Manager,10.0,120000.0,Bangalore,Senior,Management,Remote
42.0,Female,Bachelor's,Sales Manager,17.0,100000.0,Hyderabad,Mid,Management,Hybrid
53.0,Male,Master's,Director of Marketing,25.0,180000.0,Hyderabad,Senior,Management,Hybrid
33.0,Female,Bachelor's,Junior Operations Analyst,5.0,50000.0,Mumbai,Junior,Analytics,Remote
38.0,Male,Bachelor's,Customer Service Manager,11.0,80000.0,Mumbai,Mid,Management,Hybrid
44.0,Female,PhD,Senior Scientist,16.0,140000.0,Delhi,Senior,Analytics,Hybrid
26.0,Male,Bachelor's,Junior Accountant,2.0,40000.0,Bangalore,Junior,General,Onsite
37.0,Female,Master's,Senior HR Generalist,9.0,95000.0,Hyderabad,Senior,HR,Hybrid
45.0,Male,Bachelor's,Sales Operations Manager,18.0,110000.0,Hyderabad,Mid,Management,Remote
32.0,Female,Bachelor's,Marketing Coordinator,4.0,50000.0,Mumbai,Junior,General,Hybrid
34.0,Male,Master's,Senior Software Developer,8.0,105000.0,Mumbai,Senior,IT,Onsite
50.0,Female,Master's,Director of Operations,21.0,160000.0,Pune,Senior,Management,Hybrid
29.0,Male,Bachelor's,Junior Web Designer,3.0,45000.0,Bangalore,Junior,General,Remote
40.0,Female,Master's,Senior Training Specialist,12.0,100000.0,Delhi,Senior,General,Remote
47.0,Male,PhD,Senior Research Scientist,22.0,160000.0,Bangalore,Senior,Analytics,Onsite
27.0,Male,Bachelor's,Junior Sales Representative,1.0,35000.0,Mumbai,Junior,Sales,Remote
39.0,Female,Bachelor's,Administrative Assistant,10.0,55000.0,Mumbai,Junior,General,Hybrid
46.0,Male,Master's,Senior Project Manager,19.0,140000.0,Mumbai,Senior,Management,Onsite
30.0,Female,Bachelor's,Junior Marketing Manager,4.0,50000.0,Mumbai,Mid,Management,Onsite
36.0,Male,Bachelor's,Junior Data Analyst,7.0,60000.0,Bangalore,Junior,Analytics,Onsite
43.0,Female,Master's,Senior Product Marketing Manager,14.0,120000.0,Bangalore,Senior,Management,Onsite
28.0,Male,Bachelor's,Junior Business Analyst,2.0,40000.0,Pune,Junior,Analytics,Onsite
41.0,Female,Master's,Senior Marketing Manager,13.0,110000.0,Hyderabad,Senior,Management,Hybrid
33.0,Male,Bachelor's,Junior Software Developer,5.0,50000.0,Mumbai,Junior,IT,Remote
47.0,Male,Bachelor's,Senior Sales Manager,20.0,135000.0,Pune,Senior,Management,Onsite
25.0,Female,Master's,Junior Marketing Specialist,1.5,40000.0,Pune,Junior,General,Remote
34.0,Male,Bachelor's,Senior Business Analyst,8.0,90000.0,Delhi,Senior,Analytics,Remote
42.0,Female,PhD,Senior Data Scientist,16.0,150000.0,Delhi,Senior,Analytics,Remote
31.0,Male,Bachelor's,Junior Project Manager,4.0,60000.0,Mumbai,Mid,Management,Remote
38.0,Female,Bachelor's,Senior Accountant,10.0,80000.0,Bangalore,Senior,General,Remote
45.0,Male,Master's,Director of Sales,19.0,175000.0,Hyderabad,Senior,Management,Hybrid
29.0,Female,Bachelor's,Junior Recruiter,3.0,45000.0,Mumbai,Junior,General,Onsite
36.0,Male,Master's,Senior Business Development Manager,11.0,120000.0,Mumbai,Senior,Management,Hybrid
43.0,Female,PhD,Senior Product Designer,18.0,140000.0,Hyderabad,Senior,General,Onsite
26.0,Male,Bachelor's,Junior Customer Support Specialist,2.0,35000.0,Pune,Junior,General,Hybrid
37.0,Female,Master's,Senior Marketing Analyst,9.0,95000.0,Bangalore,Senior,Analytics,Remote
44.0,Male,Bachelor's,Senior IT Support Specialist,14.0,110000.0,Pune,Senior,General,Remote
32.0,Female,Bachelor's,Junior Financial Analyst,5.0,50000.0,Pune,Junior,Analytics,Hybrid
33.0,Male,Master's,Senior Operations Manager,7.0,115000.0,Mumbai,Senior,Management,Hybrid
51.0,Female,PhD,Director of Human Resources,23.0,185000.0,Pune,Senior,Management,Onsite
28.0,Male,Bachelor's,Junior Software Engineer,2.0,40000.0,Mumbai,Junior,IT,Remote
39.0,Female,Bachelor's,Senior Sales Representative,12.0,90000.0,Hyderabad,Senior,Sales,Hybrid
48.0,Male,Master's,Director of Product Management,21.0,175000.0,Bangalore,Senior,Management,Remote
30.0,Female,Bachelor's,Junior Copywriter,3.0,45000.0,Pune,Junior,General,Hybrid
35.0,Male,Bachelor's,Senior Marketing Coordinator,7.0,80000.0,Mumbai,Senior,General,Hybrid
41.0,Female,Master's,Senior Human Resources Manager,13.0,120000.0,Mumbai,Senior,Management,Remote
27.0,Male,Bachelor's,Junior Business Development Associate,1.5,35000.0,Hyderabad,Junior,General,Onsite
40.0,Female,Bachelor's,Senior Account Manager,14.0,110000.0,Hyderabad,Senior,Management,Onsite
46.0,Male,PhD,Senior Researcher,18.0,150000.0,Hyderabad,Senior,General,Onsite
31.0,Female,Bachelor's,Junior HR Coordinator,4.0,50000.0,Mumbai,Junior,HR,Remote
34.0,Male,Master's,Senior Software Engineer,9.0,105000.0,Pune,Senior,IT,Hybrid
50.0,Female,Master's,Director of Finance,20.0,180000.0,Hyderabad,Senior,Management,Hybrid
29.0,Male,Bachelor's,Junior Marketing Coordinator,2.0,40000.0,Delhi,Junior,General,Remote
,,,,,,Mumbai,Junior,General,Remote
43.0,Male,Bachelor's,Senior Project Manager,16.0,140000.0,Pune,Senior,Management,Hybrid
26.0,Female,Master's,Junior Data Scientist,1.5,45000.0,Bangalore,Junior,Analytics,Hybrid
35.0,Male,Bachelor's,Senior Operations Analyst,7.0,85000.0,Bangalore,Senior,Analytics,Remote
42.0,Female,PhD,Senior Marketing Manager,18.0,140000.0,Hyderabad,Senior,Management,Hybrid
31.0,Male,Bachelor's,Junior Accountant,4.0,50000.0,Bangalore,Junior,General,Hybrid
38.0,Female,Bachelor's,Senior Human Resources Coordinator,10.0,80000.0,Bangalore,Senior,General,Hybrid
46.0,Male,Master's,Director of Operations,20.0,170000.0,Delhi,Senior,Management,Onsite
29.0,Female,Bachelor's,Junior Sales Representative,2.0,40000.0,Mumbai,Junior,Sales,Remote
37.0,Male,Master's,Senior Business Analyst,9.0,105000.0,Bangalore,Senior,Analytics,Hybrid
44.0,Female,PhD,Senior UX Designer,15.0,145000.0,Bangalore,Senior,General,Onsite
27.0,Male,Bachelor's,Junior Product Manager,2.0,40000.0,Bangalore,Mid,Management,Remote
36.0,Female,Bachelor's,Senior Marketing Specialist,8.0,85000.0,Hyderabad,Senior,General,Remote
43.0,Male,Bachelor's,Senior IT Project Manager,14.0,130000.0,Mumbai,Senior,Management,Remote
33.0,Female,Master's,Senior Financial Analyst,6.0,95000.0,Mumbai,Senior,Analytics,Hybrid
34.0,Male,Bachelor's,Senior Quality Assurance Analyst,9.0,100000.0,Delhi,Senior,Analytics,Hybrid
50.0,Female,PhD,Director of Sales and Marketing,22.0,180000.0,Pune,Senior,Management,Onsite
28.0,Male,Bachelor's,Junior Operations Analyst,1.5,35000.0,Delhi,Junior,Analytics,Remote
39.0,Female,Bachelor's,Senior Account Executive,12.0,95000.0,Mumbai,Senior,General,Onsite
47.0,Male,Master's,Director of Business Development,19.0,170000.0,Mumbai,Senior,Management,Hybrid
30.0,Female,Bachelor's,Junior Social Media Manager,3.0,45000.0,Delhi,Mid,Management,Hybrid
34.0,Male,Bachelor's,Senior Product Manager,7.0,95000.0,Pune,Senior,Management,Onsite
40.0,Female,Master's,Senior Human Resources Specialist,13.0,120000.0,Bangalore,Senior,General,Remote
28.0,Male,Bachelor's,Junior Business Analyst,2.0,40000.0,Bangalore,Junior,Analytics,Hybrid
41.0,Female,Bachelor's,Senior Marketing Coordinator,11.0,90000.0,Mumbai,Senior,General,Hybrid
45.0,Male,PhD,Senior Data Analyst,17.0,155000.0,Pune,Senior,Analytics,Onsite
32.0,Female,Bachelor's,Junior Account Manager,5.0,55000.0,Bangalore,Mid,Management,Hybrid
35.0,Male,Master's,Senior Software Developer,9.0,110000.0,Hyderabad,Senior,IT,Remote
49.0,Female,Master's,Director of Human Capital,21.0,180000.0,Hyderabad,Senior,Management,Onsite
30.0,Male,Bachelor's,Junior Advertising Coordinator,3.0,45000.0,Bangalore,Junior,General,Hybrid
44.0,Male,Bachelor's,Senior Sales Manager,16.0,130000.0,Hyderabad,Senior,Management,Remote
27.0,Female,Master's,Junior UX Designer,1.5,45000.0,Hyderabad,Junior,General,Remote
36.0,Male,Bachelor's,Senior Accountant,7.0,90000.0,Pune,Senior,General,Hybrid
41.0,Female,PhD,Senior Marketing Director,17.0,160000.0,Delhi,Senior,Management,Remote
31.0,Male,Bachelor's,Junior HR Generalist,4.0,50000.0,Mumbai,Junior,HR,Hybrid
39.0,Female,Bachelor's,Senior Operations Manager,10.0,120000.0,Delhi,Senior,Management,Onsite
47.0,Male,Master's,Director of Finance,20.0,170000.0,Pune,Senior,Management,Remote
30.0,Female,Bachelor's,Junior Marketing Coordinator,2.0,40000.0,Hyderabad,Junior,General,Remote
38.0,Male,Master's,Senior IT Consultant,9.0,110000.0,Mumbai,Senior,General,Onsite
45.0,Female,PhD,Senior Product Designer,15.0,150000.0,Pune,Senior,General,Remote
28.0,Male,Bachelor's,Junior Business Development Associate,2.0,40000.0,Pune,Junior,General,Remote
35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0,Bangalore,Senior,Analytics,Onsite
44.0,Male,Bachelor's,Senior Software Engineer,14.0,130000.0,Hyderabad,Senior,IT,Remote
34.0,Female,Master's,Senior Financial Advisor,6.0,100000.0,Delhi,Senior,General,Onsite
35.0,Male,Bachelor's,Senior Project Coordinator,9.0,95000.0,Bangalore,Senior,General,Onsite
50.0,Female,PhD,Director of Operations,22.0,180000.0,Delhi,Senior,Management,Hybrid
29.0,Male,Bachelor's,Junior Business Operations Analyst,1.5,35000.0,Pune,Junior,Analytics,Hybrid
40.0,Female,Bachelor's,Senior Sales Representative,12.0,100000.0,Mumbai,Senior,Sales,Remote
48.0,Male,Master's,Director of Marketing,19.0,170000.0,Delhi,Senior,Management,Onsite
31.0,Female,Bachelor's,Junior Social Media Specialist,3.0,45000.0,Delhi,Junior,General,Remote
33.0,Male,Bachelor's,Senior Product Development Manager,7.0,100000.0,Pune,Senior,Management,Remote
42.0,Female,Master's,Senior Human Resources Manager,13.0,140000.0,Pune,Senior,Management,Hybrid
28.0,Male,Bachelor's,Junior Financial Analyst,2.0,40000.0,Pune,Junior,Analytics,Remote
40.0,Female,Bachelor's,Senior Marketing Manager,11.0,105000.0,Mumbai,Senior,Management,Onsite
46.0,Male,PhD,Senior Data Scientist,18.0,160000.0,Delhi,Senior,Analytics,Hybrid
33.0,Female,Bachelor's,Junior Operations Manager,5.0,70000.0,Bangalore,Mid,Management,Remote
37.0,Male,Master's,Senior Software Architect,9.0,120000.0,Mumbai,Senior,General,Remote
51.0,Female,Master's,Director of Human Resources,21.0,190000.0,Mumbai,Senior,Management,Remote
30.0,Male,Bachelor's,Junior Marketing Specialist,3.0,45000.0,Mumbai,Junior,General,Remote
43.0,Male,Bachelor's,Senior Project Manager,15.0,120000.0,Pune,Senior,Management,Remote
27.0,Female,Master's,Junior Research Scientist,1.5,50000.0,Delhi,Junior,Analytics,Hybrid
35.0,Male,Bachelor's,Senior Operations Analyst,8.0,85000.0,Mumbai,Senior,Analytics,Remote
42.0,Female,PhD,Senior Marketing Manager,13.0,140000.0,Hyderabad,Senior,Management,Remote
32.0,Male,Bachelor's,Junior Sales Representative,3.0,45000.0,Delhi,Junior,Sales,Remote
37.0,Female,Bachelor's,Senior Financial Analyst,9.0,100000.0,Hyderabad,Senior,Analytics,Remote
45.0,Male,Master's,Senior Software Developer,16.0,140000.0,Hyderabad,Senior,IT,Remote
33.0,Female,Bachelor's,Junior Operations Analyst,5.0,70000.0,Pune,Junior,Analytics,Onsite
39.0,Male,Bachelor's,Senior Marketing Specialist,10.0,120000.0,Pune,Senior,General,Onsite
44.0,Female,PhD,Senior HR Manager,18.0,160000.0,Delhi,Senior,Management,Onsite
29.0,Male,Bachelor's,Junior Business Analyst,1.5,40000.0,Pune,Junior,Analytics,Remote
38.0,Female,Bachelor's,Senior Product Manager,10.0,120000.0,Delhi,Senior,Management,Remote
46.0,Male,PhD,Senior Data Analyst,19.0,150000.0,Bangalore,Senior,Analytics,Onsite
34.0,Female,Bachelor's,Junior Marketing Analyst,6.0,70000.0,Bangalore,Junior,Analytics,Hybrid
36.0,Male,Bachelor's,Senior Operations Manager,8.0,95000.0,Hyderabad,Senior,Management,Onsite
49.0,Female,Master's,Director of Marketing,21.0,180000.0,Delhi,Senior,Management,Onsite
31.0,Male,Bachelor's,Junior Financial Analyst,3.0,50000.0,Mumbai,Junior,Analytics,Remote
41.0,Female,Bachelor's,Senior Project Coordinator,11.0,95000.0,Pune,Senior,General,Hybrid
47.0,Male,Master's,Director of Operations,20.0,170000.0,Pune,Senior,Management,Onsite
30.0,Female,Bachelor's,Junior Marketing Coordinator,2.0,40000.0,Bangalore,Junior,General,Onsite
38.0,Male,Master's,Senior IT Consultant,9.0,110000.0,Hyderabad,Senior,General,Hybrid
45.0,Female,PhD,Senior Product Designer,15.0,150000.0,Bangalore,Senior,General,Onsite
28.0,Male,Bachelor's,Junior Business Development Associate,2.0,40000.0,Pune,Junior,General,Onsite
35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0,Hyderabad,Senior,Analytics,Hybrid
44.0,Male,Bachelor's,Senior Software Engineer,14.0,130000.0,Mumbai,Senior,IT,Onsite
34.0,Female,Master's,Senior Financial Advisor,6.0,100000.0,Bangalore,Senior,General,Onsite
35.0,Male,Bachelor's,Senior Project Coordinator,9.0,95000.0,Delhi,Senior,General,Onsite
50.0,Female,PhD,Director of Operations,22.0,180000.0,Bangalore,Senior,Management,Remote
29.0,Male,Bachelor's,Junior Business Operations Analyst,1.5,350.0,Pune,Junior,Analytics,Hybrid
,,,,,,Bangalore,Junior,General,Hybrid
37.0,Female,Bachelor's,Senior Financial Manager,10.0,120000.0,Mumbai,Senior,Management,Hybrid
46.0,Male,PhD,Senior Data Scientist,18.0,160000.0,Delhi,Senior,Analytics,Hybrid
31.0,Female,Bachelor's,Junior Marketing Coordinator,3.0,50000.0,Pune,Junior,General,Hybrid
42.0,Male,Bachelor's,Senior Operations Manager,12.0,110000.0,Bangalore,Senior,Management,Remote
29.0,Female,Bachelor's,Junior Sales Representative,1.5,40000.0,Delhi,Junior,Sales,Remote
36.0,Male,Bachelor's,Senior Marketing Specialist,8.0,95000.0,Bangalore,Senior,General,Remote
44.0,Female,Master's,Senior HR Specialist,15.0,140000.0,Pune,Senior,HR,Onsite
33.0,Male,Bachelor's,Junior Operations Manager,4.0,60000.0,Hyderabad,Mid,Management,Remote
39.0,Female,Bachelor's,Senior Marketing Coordinator,9.0,110000.0,Hyderabad,Senior,General,Hybrid
45.0,Male,PhD,Senior Data Engineer,16.0,150000.0,Hyderabad,Senior,IT,Remote
32.0,Female,Bachelor's,Junior Marketing Manager,4.0,60000.0,Mumbai,Mid,Management,Hybrid
37.0,Male,Bachelor's,Senior Financial Analyst,8.0,90000.0,Pune,Senior,Analytics,Remote
47.0,Female,Master's,Director of Marketing,20.0,180000.0,Delhi,Senior,Management,Remote
30.0,Male,Bachelor's,Junior Business Analyst,2.0,40000.0,Pune,Junior,Analytics,Onsite
38.0,Female,Bachelor's,Senior Project Manager,9.0,120000.0,Pune,Senior,Management,Onsite
46.0,Male,PhD,Senior Data Analyst,17.0,160000.0,Hyderabad,Senior,Analytics,Remote
34.0,Female,Bachelor's,Junior Financial Analyst,5.0,70000.0,Delhi,Junior,Analytics,Hybrid
36.0,Male,Bachelor's,Senior Product Manager,8.0,95000.0,Hyderabad,Senior,Management,Onsite
49.0,Female,Master's,Director of Operations,21.0,180000.0,Delhi,Senior,Management,Remote
31.0,Male,Bachelor's,Junior Operations Analyst,3.0,50000.0,Hyderabad,Junior,Analytics,Remote
41.0,Female,Bachelor's,Senior Project Coordinator,11.0,95000.0,Hyderabad,Senior,General,Hybrid
47.0,Male,Master's,Director of Marketing,19.0,170000.0,Mumbai,Senior,Management,Hybrid
29.0,Female,Bachelor's,Junior Business Development Associate,1.5,35000.0,Bangalore,Junior,General,Onsite
35.0,Male,Bachelor's,Senior Financial Manager,9.0,100000.0,Bangalore,Senior,Management,Remote
44.0,Female,PhD,Senior Product Designer,15.0,150000.0,Delhi,Senior,General,Hybrid
33.0,Male,Bachelor's,Junior Business Analyst,4.0,60000.0,Mumbai,Junior,Analytics,Remote
